Name,AlbanyNY,AtlantaGA,AustinTX,BaltimoreMD,BatonRougeLA,BeaumontTX,BirminghamAL,BostonMA,BuffaloNY,CharlestonSC,CharlotteNC,ChicagoIL,CincinnatiOH,ClevelandOH,ColumbusOH,CorpusChristiTX,DallasTX,DaytonOH,DenverCO,DetroitMI,ElPasoTX,FortWayneIN,FresnoCA,GrandRapidsMI,GreensboroNC,GreenvilleSC,HartfordCT,HoustonTX,IndianapolisIN,JacksonvilleFL,KansasCityMO,KnoxvilleTN,LakeCharlesLA,LaredoTX,LasVegasNV,LosAngelesCA,Louisville/JeffersonCountyKY,MemphisTN,MiamiFL,MilwaukeeWI,MinneapolisMN,MobileAL,NashvilleTN,NewOrleansLA,NewYorkNY,OklahomaCityOK,OmahaNE,OrlandoFL,PhiladelphiaPA,PhoenixAZ,PittsburghPA,PortlandOR,RaleighNC,otherAL,otherAK,otherAZ,otherAR,otherCA,otherCO,otherCT,otherDE,otherFL,otherGA,otherHI,otherID,otherIL,otherIN,otherIA,otherKS,otherKY,otherLA,otherME,otherMD,otherMA,otherMI,otherMN,otherMS,otherMO,otherMT,otherNE,otherNV,otherNH,otherNM,otherNY,otherNC,otherND,otherOH,otherOK,otherOR,otherPA,otherSC,otherSD,otherTN,otherTX,otherUT,otherVT,otherVA,otherWA,otherWV,otherWI,otherWY,RichmondVA,RochesterNY,SacramentoCA,SaltLakeCityUT,SanAntonioTX,SanDiegoCA,SanJoseCA,SavannahGA,SeattleWA,St.LouisMO,TampaFL,TucsonAZ,TulsaOK,UrbanHonoluluHI,VirginiaBeachVA,WashingtonDC,WichitaKS
CharlotteNC,,,,0,,,,0,,0,556,0,0,0,,,,,,,,,,,46,0,0,,0,,0,,,,,,6,,,,,,,27,0,,,,0,,7,0,,14,,,,,,,,,0,,,,,,,5,,,,,,,,,,,,,,0,0,,,,,5,0,,0,,,,7,0,,,,0,,,,,,,,,0,0,,,,,0,
ChicagoIL,0,0,0,0,0,0,0,0,0,0,0,2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,0,51,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,802,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CincinnatiOH,0,0,0,7,0,0,0,0,0,19,0,19,94,1,0,0,0,0,0,4,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,31,0,0,1,0,0,159,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ClevelandOH,,,,,,,,0,4,,,0,0,1653,0,,,0,,383,,,,0,,,,,0,,0,,,,,0,0,,0,,,71,,0,28,,,,0,,0,0,,0,,,,,,,,,,,,0,0,0,,0,,0,,,0,,,,,,,0,,0,,,142,,,0,0,,0,0,,,,,0,0,,,,,,,,,,,0,,,,,0,0,
ColumbusOH,,0,,,,,,0,,,2,0,164,326,0,,,0,,18,,0,,0,,,0,1,19,,0,0,,,,,0,0,0,0,,,0,0,12,,,,9,,27,0,,0,,,,,,,,,,,,,0,,,11,,,,,,,,,,,,0,,,,,436,,,28,,,0,,,,,,3,,,,,,,,,0,,,0,,,0,,0,0,
CorpusChristiTX,,,,,,,,0,,,,0,0,,,22,0,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,
DallasTX,,0,,1,,0,,0,,0,,0,7,0,,,787,,,,,3,,,0,,,0,0,,0,9,,2,,0,0,0,,,,,0,65,0,,0,,0,,0,0,,2,,,0,,,,,,,,,,0,0,,0,,,,,0,,0,0,,0,,,,,,,,51,,0,,,0,107,,,,,,,,,,,0,110,,,,,5,0,,1,,,0,
DaytonOH,,,,,,,,0,,,,0,43,14,,,,81,,5,,10,,0,,,,,0,,0,,,,,,,,,,,,,,0,,,,0,0,14,0,,,,,,,,,,,,,,,13,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
DenverCO,,,,,,,,0,0,,,0,0,,,,0,,163,0,,,,,2,,,,0,,0,11,,,,12,,,,,,,,59,0,,,,0,,0,0,,5,,,0,,715,,,,,,,,,,,,,,,,0,,,0,6,,,,,,,,,,,,,,,,,,0,0,,,,,0,,227,,,,,,0,,,,,,0,
DetroitMI,0,0,,,,,0,0,53,,,0,0,0,10,,,0,,900,,310,,0,0,,,0,8,,0,0,,,,0,,,,0,0,,,0,0,,,,0,,0,0,,0,,,,,,,,,,,,,0,0,,0,,,,,118,0,,,,,0,,,0,,,0,,0,2,0,,,,,,,,0,0,,,,,,,,,,,0,,,,,,0,
ElPasoTX,,,,,,,,0,,,0,3,0,0,,,0,,,,64,,,,,,3,0,,,0,9,,0,,13,3,,0,,,,,16,0,,,,0,8,0,0,,0,,,3,,54,,,,,,,,,0,,0,0,,,,,,,,,,,,32,,,,0,,,3,,,,89,,,,,,,,,,,0,,0,0,,,18,,,,,0,0,
FortWayneIN,,0,,,,,,0,,,,0,0,0,0,,,0,,0,,0,,0,,,,0,0,,0,0,,,,,0,,,,,,,0,1,,,,0,,5,0,,,,,0,,,,,,,,,,0,9,,10,,,,,0,,,,1,,,,,3,0,,0,,,0,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,0,
FresnoCA,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,0,,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,0,,,,,,0,
GrandRapidsMI,,,,,,,13,0,0,,,118,181,4,0,,,0,,25,,34,,276,,,,,137,,0,0,,,,3,,,,2,,,,0,2,,,,0,,35,0,,0,,,,,,,,,,,,,73,0,,78,,,,,157,,0,0,,0,,,,,,,0,,,,13,,,,,,,,,16,,,,,,,,,,,0,,,,,,0,
GreensboroNC,,,,,,,2,0,,,312,0,0,,,,,0,,1,,,,,0,0,,,,,0,,,,,,,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,0,
GreenvilleSC,,154,,,,,,0,,0,0,0,0,0,,,,,,,,0,,,,0,,,,,0,5,,,,,,,,,,,,26,0,,,,0,,0,0,,1,,,,,,,,,0,,,,0,,,0,,,,,,,245,,,,,,,,0,,,,,,49,,5,,,,,,,,,,,,,,,,,,0,,,,,,0,
HartfordCT,,,,,,,,0,,,0,0,0,7,,,,,,,,,,,,,2,0,,,0,,,,0,,0,,,,,,,0,7,,,,7,,6,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4,,,,,,,0,,,,,,,0,,,,,,,,,,,,,0,,,,,,0,
HoustonTX,,14,,0,,0,,0,,,,15,0,0,0,,0,,,7,,10,,0,,,,0,,,0,,,0,,0,,,0,,,0,4,,0,,0,,0,,0,0,,9,,,0,0,,,,,,,,,0,7,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,0,,,,,6,,,0,,144,0,
IndianapolisIN,,,,,,,,0,,,,13,0,1,1,,,,,0,,,,,,,,,75,,0,,,,,0,3,,,1,,,3,0,0,,,,1,,0,0,,,,,,,,,,,,,,0,0,,,0,,,,,0,,,1,,,0,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0
JacksonvilleFL,,142,,,,,,0,,,,0,0,0,,,0,,,,,,,,,,,,5,75,0,,,,,,0,,,,,,,29,0,,,,0,,,0,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,,0,
KansasCityMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,32,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,9,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KnoxvilleTN,,0,,,,,0,0,,,,0,0,,,,,,,1,,,,,0,,,0,,0,0,0,,,,,1,0,,,,0,0,0,0,,,,0,,0,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,66,,,,,,,,,,,,,,0,,,,0,,,,,,0,
LakeCharlesLA,,0,,,,,1,0,1,,,3,0,,1,,,,,1,,,,,,,,2,,,0,,0,,,,,0,,,,,,0,0,,,,0,,2,0,,2,,,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,2,,,0,,,,,,,,,,,,0,,,,,,0,
LaredoTX,,,,,,,,0,,,,0,0,,,2,0,,,,,,,,,,,7,,,0,2,,0,,,,,,,,,,0,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,10,,,,,0,,,,,,0,
LasVegasNV,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,0,314,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,
LosAngelesCA,,,,,,,,0,,,,0,0,0,0,,0,,,0,,,,0,,,,0,,,0,,,,,36165,,,,0,,,0,,0,,,,0,0,0,0,,0,,,,8,,,,,,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,0,0,,,,,0,,,0,0,,,0,,,,,,0,
Louisville/JeffersonCountyKY,,,,5,,,,0,,0,,0,11,28,,0,0,,,7,,,,,,,,0,61,,0,,,,,0,36,,0,,,,,9,0,,,,0,,,0,,0,,,,,,,,,0,,,0,65,,,0,,,,,,,,20,,,,,,,,,0,,,,17,,,,,,,,,3,,,,,,,,,,,0,,,,,,0,
MemphisTN,,0,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,0,,0,0,,,,0,,112,,,,,,52,0,,,,0,,,0,,11,,,31,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,
MiamiFL,,,,,,,0,0,,154,,0,0,,0,,,,,1,,0,,,,,,,,,0,,,,,78,,,958,,,0,,1,0,,,,0,,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,123,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,
MilwaukeeWI,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1330,,,,,0,,,,0,,,0,,17,,,,,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,
MinneapolisMN,,0,,,,,,0,0,,,0,0,12,,,,,,,25,0,,,,,,,0,,0,0,,,,,,,,,191,,,0,0,,,,0,,,0,,,,,,,,,,,,,,,0,139,,2,10,,,,0,219,,8,,,,,,,,5,0,0,,,,,,,,,,0,,199,,,,,,,,,,,0,,,,,,0,
MobileAL,,,,,,0,0,0,,0,0,0,0,,,,0,,,,,,,0,,,,,0,,0,,,,,,0,,,,0,0,,0,0,,,,0,,,0,,4,,,0,,,,,0,,,,,,,,3,,,,,,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,0,
NashvilleTN,,0,,,,,102,0,,,,0,0,,,,,,,,,0,,,,,,,0,,0,0,,,,,,7,,,,,0,0,0,,,,0,,,0,,83,,,,,,,,,0,,,0,0,,,0,,,,,,,0,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,0,,0,,,,,,0,
NewOrleansLA,,,,,0,,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,957,0,,,,0,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
NewYorkNY,652,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,0,0,0,285,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,11,0,467,0,0,0,0,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,0
OklahomaCityOK,,,,,,,,0,,,,0,0,,,,34,,,,,0,,,,,,0,,,0,,,,,2,,0,,,0,,,,0,0,,,0,,,0,,5,,,30,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,54,,,,,,0,,,,,,,,,,,,30,,,,,0,,,0,,,0,
OmahaNE,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
OrlandoFL,,95,,,,,9,0,,132,,0,0,,,,,,,0,,,,,,,,,,61,0,,,,,0,0,,,,,0,,,0,,,29,0,,,0,0,22,,,,,,,,4,53,,,0,,,,7,,,,,,,,,,,,,,,,,,,,,36,,,,,,0,,,,,,,,,,,,0,,0,13,,,,,0,
PhiladelphiaPA,0,0,0,0,0,0,0,0,0,0,0,14,4,20,0,0,3,0,0,46,0,1,0,0,0,0,0,32,6,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,207,0,0,0,2214,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,9,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PhoenixAZ,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,4,,,0,,,,,232,,,,,,,,172,0,,,,0,0,,0,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,191,,,,0,
PittsburghPA,,,,,,,,0,0,,,5,0,12,0,,2,,,0,,,,0,,,,0,,,1,,,,,,15,,,0,,,6,4,0,,,,0,,1547,0,,10,,,,,,,,,,,,,,0,,164,,,,,0,,,0,,,,,,11,0,,0,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,
PortlandOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RaleighNC,,0,,0,,,,0,,0,0,0,0,,,,,,,0,,9,,,,,,2,,,0,0,,,,,,,0,,,0,,0,0,,,,0,,0,0,25,3,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,122,,0,,,,151,,,,,,0,,,,,0,,,,,,3,,,0,2,,,,3,0,
otherAL,,,,,,,332,0,,,,0,0,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,0,,,,0,0,14,0,,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,0,0,
otherAK,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,,,,,,0,
otherAZ,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,
otherAR,,,,,,0,0,0,,,,0,0,0,,0,0,,,13,,1,,,,,,0,77,,0,0,277,,,0,,49,,,,0,0,0,0,,,,0,,,0,,0,,,2598,,,,,,,,,,,,129,0,0,,,,0,,,1026,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,
otherCA,,,,,,,,0,,,,0,0,,,,,,,,,,3,,,,,,,,0,,,,,514,,,,,,,,,0,,,,0,0,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,144,,0,0,,,,,,0,
otherCO,,,,,,,,0,,,,0,0,,,,0,,127,,,,,,,,,,,,0,0,,,,6,,,,,,,,0,0,,,,0,0,,0,,,,5,,,340,,,,0,,,,,,,0,0,,,,,,,,,,,,8,,,,,2,,,,,,,0,,,,,,,,,0,15,,,0,,,0,,,0,,,0,
otherCT,,,,,,,,20,,,,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,267,,,,0,,,0,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,61,,,,,,,,,0,,,,,207,0,
otherDE,,,,44,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,103,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
otherFL,,0,,,,,,0,,245,,2,0,,,,,,,0,,5,,,,,,,0,61,0,,,,,0,0,,0,,,93,,17,0,,,6,0,,0,0,,10,,,,,,,,31,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,2,0,,,,,0,
otherGA,,0,,0,,,0,0,,14,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,1,,,0,,,1,,27,0,,,,0,,,0,,0,,,,,,,,,132,,,,,1,,0,,,,,,,0,,,,,,,,,,0,,,,28,,,,,,,,,,,,,,,,,,0,,0,2,,,,0,0,
otherHI,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,113,,0,
otherID,,,,,,,,0,,,,0,0,,,,,,0,,,0,,,,,,,,,0,0,,,,13,,,,,,,,,0,,,,0,,,57,,,,,,,,,,,,,79,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,0,170,,,2,,39,0,,,,,,0,
otherIL,,0,,,,,0,0,,,,226,0,0,,,0,,,0,,1,,2,,,,,0,,0,0,,,,2,0,,,92,,,0,22,0,,0,,0,,0,0,,0,,,,,,,,,,,,1023,90,0,,9,,,,,,,,,,,,,,,,,2,,,0,,,6,,,,,,,60,,,,,,0,,,,,0,0,,,,5,0,
otherIN,,,,,,,0,0,,,,103,4,0,0,,,,,0,,0,,,0,,,0,221,,0,1,,,,0,0,,,0,,,0,,5,,,,0,,0,0,,0,,,,0,,,,,,,,0,0,7,,201,,,,,0,,,0,,,,0,,0,,,0,,,0,0,,17,0,,,0,,,0,,,,,0,,,,,0,0,,,6,,,0,
otherIA,,,,,,,,0,,,,84,0,0,,,,,0,0,,129,,0,,,,0,0,,0,0,,,,0,,,,0,17,,,43,0,,176,,0,,0,0,,,,,,,,,,,,,,0,0,1427,,7,,,,,,31,57,,9,207,,,,,,,0,,,0,,0,,,,,,,,27,,,,,,18,,,,,9,,,,,,0,
otherKS,,,,,,0,,0,,,,0,0,0,,,0,,,,0,,,,,,,0,,,45,,,,,,,,,0,,0,,1,0,,0,,0,,,0,,,,,8,,,,,,,,,0,2,,0,,,,,,,,18,0,,,,,,,,,,49,,,,,,0,,,,,,0,,,,,,,,,,,0,,,0,,,0,3
otherKY,,0,0,0,,,0,0,0,184,,0,76,,0,,,,,,,,,,0,,,0,118,,0,35,,,,0,26,79,,0,,,,,0,,,,0,,46,0,0,0,,,0,,,,,,0,,,,136,,,1319,0,,,,6,,0,,,,,,,,23,,0,,,0,0,,0,0,,,,,30,0,,,,,0,,,,,,22,,,,,,0,0
otherLA,,,,,,,0,0,,,,0,0,,,,52,,,,,,,,,,,0,,,0,2,,,,,,,,,,0,,0,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,165,,,,,,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,0,,,0,
otherME,,,,,,,,218,0,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,0,,0,0,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
otherMD,,,,0,,,,0,,21,0,25,0,,,,,,,3,,0,,,,,,,,,0,,,,,,,,,,,,,,55,,,,0,,11,0,,0,,,,,,,0,,,,,,,0,,8,,,4,,,,,,,,,,,0,131,,4,,,0,,,,,,,0,,,,,0,,,,,,,,,0,,,,,,0,
otherMA,,,,,,,,82,0,10,0,0,0,45,,,0,,,5,,1,,,,,2,,4,,0,,,,0,,,,,,,,,4,80,,,,2,,8,0,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,25,33,,0,,,0,,,,,,0,,,,,,0,,,,,,,,,2,,,,,0,0,
otherMI,,,,,,,0,0,3,,,0,0,24,8,,,,,272,,0,,69,,,,,16,,0,,,,,,,,0,6,,,,0,0,,0,,0,,0,0,0,,,,,,,,,,,,,0,8,0,,,,,,,487,,,0,,,,,,0,,,73,,,0,,,,,,,,,,43,,,,,,,,0,,,2,44,,,,,0,
otherMN,,,,,,,,0,,,,28,1,,,,0,,,,,82,,,,,,,,,0,,,,,0,,,,0,121,,,0,0,,0,,0,,,0,,0,,,0,,0,,,,,,,0,0,116,0,0,,,,,0,0,,0,2,0,,,,,,0,0,,,0,,,,,,,,,,0,,,,,0,,,,,,0,,,,,,0,
otherMS,,,,,,,0,0,,,,0,0,,,,0,,,0,,0,,,,,,,0,,0,0,,0,,0,0,32,,,,0,0,5,0,0,,,0,,,0,,0,,,0,,,,,,,,,,,,,5,1,,,,,,862,1,0,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,2,,,,,,0,
